Address (google maps),Landmark
"415 Mission St, San Francisco, CA 94105",Salesforce Tower
"20 W 34th St, New York, NY 10001",Empire State Building
"2920 Zoo Dr, San Diego, CA 92101",San Diego Zoo
"100 Legends Way, Boston, MA 02114",TD Garden
"2000 Brush St, Detroit, MI 48226",Ford Field
"1600 Pennsylvania Avenue NW, Washington, DC 20500",White House
Florida 32899,Kennedy Space Center
"300 Alamo Plaza, San Antonio, TX 78205",The Alamo
"3600 S Las Vegas Blvd, Las Vegas, NV 89109",The Bellagio
"1709 Broderick St, San Francisco, CA 94115",Full House' House
